q(MeV) 1s_{1/2} 2s_{1/2} 2p_{1/2} 2p_{3/2} 3s_{1/2} 3p_{1/2} 3p_{3/2} 3d_{3/2} 3d_{5/2} 4s_{1/2} 4p_{1/2} 4p_{3/2} 4d_{3/2} 4d_{5/2} 5s_{1/2} 5p_{1/2} 5p_{3/2} Sum

0.001 2.84453e-08 7.63172e-07 1.52692e-06 3.46112e-06 1.16157e-05 2.16341e-05 5.56094e-05 0.000308732 0.000485139 0.000171692 0.000222387 0.000654313 0.138664 0.240772 0.00812978 0.246428 0.572891 1.20882
0.00100436 2.8694e-08 7.69843e-07 1.54027e-06 3.49138e-06 1.17174e-05 2.18239e-05 5.60973e-05 0.000311423 0.000489366 0.000173177 0.000224547 0.000660562 0.139846 0.242821 0.00824151 0.248645 0.578128 1.21964
0.00100874 2.89448e-08 7.76573e-07 1.55373e-06 3.52191e-06 1.18199e-05 2.20154e-05 5.65894e-05 0.000314136 0.000493629 0.000174674 0.000226729 0.000666875 0.141038 0.244888 0.00835498 0.250882 0.583412 1.23055
0.00101314 2.91979e-08 7.83362e-07 1.56732e-06 3.5527e-06 1.19234e-05 2.22086e-05 5.70859e-05 0.000316873 0.00049793 0.000176183 0.000228934 0.000673253 0.14224 0.246972 0.00847023 0.253139 0.588744 1.24156
0.00101756 2.94531e-08 7.9021e-07 1.58102e-06 3.58376e-06 1.20278e-05 2.24035e-05 5.75867e-05 0.000319634 0.000502268 0.000177706 0.000231162 0.000679696 0.143452 0.249073 0.00858729 0.255415 0.594123 1.25266
0.001022 2.97106e-08 7.97119e-07 1.59484e-06 3.61509e-06 1.21331e-05 2.26002e-05 5.8092e-05 0.000322419 0.000506644 0.000179242 0.000233414 0.000686205 0.144674 0.251191 0.00870619 0.257712 0.599551 1.26386
0.00102646 2.99703e-08 8.04087e-07 1.60879e-06 3.6467e-06 1.22393e-05 2.27985e-05 5.86017e-05 0.000325228 0.000511058 0.000180791 0.000235689 0.000692781 0.145907 0.253327 0.00882696 0.260028 0.605027 1.27516
0.00103093 3.02323e-08 8.11116e-07 1.62285e-06 3.67859e-06 1.23465e-05 2.29986e-05 5.91159e-05 0.000328061 0.00051551 0.000182353 0.000237989 0.000699425 0.147149 0.25548 0.00894963 0.262365 0.610551 1.28656
0.00103543 3.04966e-08 8.18207e-07 1.63704e-06 3.71075e-06 1.24546e-05 2.32005e-05 5.96347e-05 0.000330919 0.000520001 0.000183928 0.000240313 0.000706137 0.148401 0.257651 0.00907424 0.264723 0.616126 1.29806
0.00103994 3.07632e-08 8.2536e-07 1.65135e-06 3.74319e-06 1.25636e-05 2.34041e-05 6.01579e-05 0.000333802 0.00052453 0.000185517 0.000242661 0.000712918 0.149664 0.25984 0.00920081 0.2671 0.621749 1.30966
0.00104448 3.10322e-08 8.32575e-07 1.66579e-06 3.77592e-06 1.26736e-05 2.36095e-05 6.06859e-05 0.00033671 0.000529099 0.000187119 0.000245034 0.000719769 0.150938 0.262048 0.00932939 0.269499 0.627423 1.32136
0.00104904 3.13034e-08 8.39854e-07 1.68035e-06 3.80893e-06 1.27846e-05 2.38168e-05 6.12184e-05 0.000339643 0.000533708 0.000188735 0.000247432 0.000726691 0.152222 0.264273 0.00946001 0.271919 0.633147 1.33316
0.00105361 3.15771e-08 8.47196e-07 1.69504e-06 3.84224e-06 1.28965e-05 2.40259e-05 6.17557e-05 0.000342602 0.000538357 0.000190365 0.000249856 0.000733684 0.153516 0.266516 0.0095927 0.27436 0.638923 1.34507
0.00105821 3.18531e-08 8.54602e-07 1.70986e-06 3.87583e-06 1.30094e-05 2.42368e-05 6.22976e-05 0.000345586 0.000543046 0.000192009 0.000252306 0.00074075 0.154822 0.268779 0.0097275 0.276822 0.644749 1.35708
0.00106282 3.21316e-08 8.62073e-07 1.72481e-06 3.90972e-06 1.31233e-05 2.44496e-05 6.28444e-05 0.000348596 0.000547776 0.000193667 0.000254781 0.000747888 0.156138 0.271059 0.00986444 0.279305 0.650626 1.36919
0.00106746 3.24125e-08 8.6961e-07 1.73989e-06 3.9439e-06 1.32382e-05 2.46642e-05 6.3396e-05 0.000351633 0.000552546 0.000195339 0.000257283 0.000755101 0.157465 0.273359 0.0100036 0.28181 0.656556 1.38141
0.00107211 3.26958e-08 8.77212e-07 1.7551e-06 3.97839e-06 1.33541e-05 2.48808e-05 6.39524e-05 0.000354695 0.000557358 0.000197025 0.000259812 0.000762389 0.158802 0.275677 0.0101449 0.284337 0.662538 1.39374
0.00107679 3.29817e-08 8.8488e-07 1.77045e-06 4.01317e-06 1.34711e-05 2.50992e-05 6.45137e-05 0.000357784 0.000562212 0.000198725 0.000262367 0.000769752 0.160151 0.278014 0.0102885 0.286885 0.668572 1.40617
0.00108148 3.327e-08 8.92616e-07 1.78593e-06 4.04826e-06 1.3589e-05 2.53196e-05 6.508e-05 0.000360901 0.000567108 0.000200441 0.00026495 0.000777193 0.161511 0.280371 0.0104344 0.289456 0.674659 1.41871
0.0010862 3.35608e-08 9.00419e-07 1.80154e-06 4.08365e-06 1.3708e-05 2.55419e-05 6.56513e-05 0.000364044 0.000572047 0.00020217 0.000267561 0.00078471 0.162882 0.282747 0.0105827 0.292048 0.6808 1.43136
0.00109094 3.38542e-08 9.08291e-07 1.81729e-06 4.11936e-06 1.3828e-05 2.57662e-05 6.62276e-05 0.000367214 0.000577028 0.000203915 0.000270199 0.000792306 0.164265 0.285142 0.0107333 0.294663 0.686995 1.44412
0.0010957 3.41502e-08 9.16231e-07 1.83318e-06 4.15538e-06 1.39491e-05 2.59925e-05 6.6809e-05 0.000370412 0.000582053 0.000205674 0.000272866 0.000799981 0.165658 0.287557 0.0108863 0.297301 0.693244 1.45699
0.00110048 3.44487e-08 9.24241e-07 1.84921e-06 4.19171e-06 1.40713e-05 2.62207e-05 6.73955e-05 0.000373637 0.000587121 0.000207448 0.000275562 0.000807737 0.167064 0.289992 0.0110418 0.299961 0.699547 1.46997
0.00110528 3.47499e-08 9.32321e-07 1.86537e-06 4.22836e-06 1.41945e-05 2.6451e-05 6.79872e-05 0.000376891 0.000592233 0.000209237 0.000278286 0.000815573 0.168481 0.292446 0.0111998 0.302644 0.705905 1.48306
0.0011101 3.50537e-08 9.40471e-07 1.88168e-06 4.26533e-06 1.43188e-05 2.66833e-05 6.85841e-05 0.000380172 0.000597389 0.000211042 0.00028104 0.000823492 0.169909 0.294921 0.0113604 0.30535 0.712319 1.49627
0.00111494 3.53601e-08 9.48693e-07 1.89813e-06 4.30262e-06 1.44442e-05 2.69176e-05 6.91862e-05 0.000383483 0.00060259 0.000212862 0.000283824 0.000831493 0.171349 0.297416 0.0115235 0.308079 0.718788 1.50959
0.0011198 3.56692e-08 9.56987e-07 1.91473e-06 4.34024e-06 1.45707e-05 2.71541e-05 6.97937e-05 0.000386822 0.000607837 0.000214697 0.000286637 0.000839579 0.172801 0.299931 0.0116893 0.310831 0.725313 1.52302
0.00112468 3.59811e-08 9.65353e-07 1.93147e-06 4.37819e-06 1.46983e-05 2.73926e-05 7.04066e-05 0.000390189 0.000613128 0.000216548 0.000289481 0.00084775 0.174265 0.302467 0.0118578 0.313607 0.731895 1.53657
0.00112959 3.62956e-08 9.73792e-07 1.94836e-06 4.41647e-06 1.4827e-05 2.76332e-05 7.10248e-05 0.000393587 0.000618466 0.000218415 0.000292356 0.000856006 0.175741 0.305024 0.012029 0.316406 0.738533 1.55023
0.00113452 3.66129e-08 9.82305e-07 1.96539e-06 4.45509e-06 1.49568e-05 2.78759e-05 7.16485e-05 0.000397013 0.00062385 0.000220298 0.000295262 0.00086435 0.177229 0.307601 0.012203 0.319229 0.745229 1.56401
0.00113946 3.6933e-08 9.90893e-07 1.98257e-06 4.49404e-06 1.50878e-05 2.81208e-05 7.22777e-05 0.000400469 0.00062928 0.000222196 0.000298199 0.000872781 0.178729 0.310199 0.0123798 0.322076 0.751982 1.57791
0.00114443 3.72558e-08 9.99555e-07 1.99991e-06 4.53334e-06 1.522e-05 2.83678e-05 7.29124e-05 0.000403956 0.000634758 0.000224111 0.000301169 0.000881302 0.180241 0.312819 0.0125594 0.324947 0.758793 1.59193
0.00114943 3.75815e-08 1.00829e-06 2.01739e-06 4.57297e-06 1.53533e-05 2.86171e-05 7.35528e-05 0.000407472 0.000640283 0.000226042 0.000304171 0.000889913 0.181766 0.31546 0.012742 0.327842 0.765662 1.60606
0.00115444 3.79101e-08 1.01711e-06 2.03503e-06 4.61296e-06 1.54877e-05 2.88685e-05 7.41987e-05 0.000411019 0.000645856 0.000227989 0.000307205 0.000898615 0.183303 0.318122 0.0129276 0.330762 0.77259 1.62032
0.00115947 3.82415e-08 1.026e-06 2.05282e-06 4.65329e-06 1.56234e-05 2.91221e-05 7.48504e-05 0.000414596 0.000651477 0.000229953 0.000310272 0.000907409 0.184853 0.320806 0.0131162 0.333706 0.779577 1.6347
0.00116453 3.85758e-08 1.03497e-06 2.07077e-06 4.69398e-06 1.57602e-05 2.9378e-05 7.55079e-05 0.000418205 0.000657147 0.000231934 0.000313373 0.000916296 0.186415 0.323511 0.0133079 0.336674 0.786623 1.6492
0.00116961 3.8913e-08 1.04402e-06 2.08888e-06 4.73502e-06 1.58982e-05 2.96361e-05 7.61711e-05 0.000421845 0.000662866 0.000233932 0.000316508 0.000925277 0.18799 0.326239 0.0135028 0.339668 0.793729 1.66382
0.00117471 3.92532e-08 1.05314e-06 2.10714e-06 4.77642e-06 1.60375e-05 2.98965e-05 7.68402e-05 0.000425516 0.000668634 0.000235946 0.000319677 0.000934355 0.189578 0.328989 0.0137008 0.342686 0.800895 1.67856
0.00117983 3.95964e-08 1.06235e-06 2.12556e-06 4.81819e-06 1.6178e-05 3.01593e-05 7.75152e-05 0.00042922 0.000674453 0.000237977 0.000322881 0.000943529 0.191179 0.331761 0.0139021 0.34573 0.808121 1.69343
0.00118498 3.99425e-08 1.07164e-06 2.14415e-06 4.86031e-06 1.63197e-05 3.04243e-05 7.81962e-05 0.000432955 0.000680322 0.000240026 0.00032612 0.0009528 0.192793 0.334555 0.0141067 0.348799 0.815409 1.70843
0.00119015 4.02917e-08 1.08101e-06 2.16289e-06 4.90281e-06 1.64626e-05 3.06917e-05 7.88831e-05 0.000436723 0.000686242 0.000242092 0.000329395 0.000962171 0.19442 0.337372 0.0143146 0.351893 0.822757 1.72355
0.00119534 4.06439e-08 1.09046e-06 2.1818e-06 4.94568e-06 1.66068e-05 3.09614e-05 7.95761e-05 0.000440523 0.000692213 0.000244176 0.000332706 0.000971642 0.19606 0.340212 0.014526 0.355013 0.830167 1.73879
0.00120055 4.09992e-08 1.09999e-06 2.20088e-06 4.98892e-06 1.67523e-05 3.12336e-05 8.02753e-05 0.000444356 0.000698235 0.000246277 0.000336053 0.000981214 0.197713 0.343075 0.0147408 0.358158 0.837638 1.75417
0.00120579 4.13577e-08 1.10961e-06 2.22012e-06 5.03255e-06 1.6899e-05 3.15081e-05 8.09806e-05 0.000448223 0.00070431 0.000248396 0.000339437 0.000990888 0.19938 0.345961 0.0149592 0.36133 0.845172 1.76967
0.00121105 4.17192e-08 1.11931e-06 2.23953e-06 5.07655e-06 1.70471e-05 3.1785e-05 8.16922e-05 0.000452123 0.000710438 0.000250533 0.000342859 0.00100067 0.201061 0.34887 0.0151812 0.364527 0.852768 1.7853
0.00121633 4.20839e-08 1.12909e-06 2.25911e-06 5.12094e-06 1.71964e-05 3.20644e-05 8.241e-05 0.000456056 0.000716618 0.000252688 0.000346318 0.00101055 0.202755 0.351803 0.0154069 0.367751 0.860427 1.80106
0.00122163 4.24518e-08 1.13896e-06 2.27886e-06 5.16571e-06 1.7347e-05 3.23463e-05 8.31342e-05 0.000460024 0.000722853 0.000254862 0.000349816 0.00102054 0.204462 0.354759 0.0156363 0.371001 0.868149 1.81696
0.00122696 4.28229e-08 1.14892e-06 2.29879e-06 5.21088e-06 1.7499e-05 3.26307e-05 8.38647e-05 0.000464026 0.00072914 0.000257053 0.000353353 0.00103064 0.206184 0.357739 0.0158695 0.374277 0.875935 1.83298
0.00123231 4.31973e-08 1.15896e-06 2.31889e-06 5.25644e-06 1.76523e-05 3.29176e-05 8.46018e-05 0.000468063 0.000735483 0.000259264 0.000356928 0.00104084 0.207919 0.360743 0.0161065 0.37758 0.883784 1.84914
0.00123769 4.35749e-08 1.16909e-06 2.33916e-06 5.30241e-06 1.78069e-05 3.3207e-05 8.53453e-05 0.000472135 0.00074188 0.000261493 0.000360544 0.00105116 0.209669 0.363771 0.0163475 0.38091 0.891698 1.86543
0.00124309 4.39559e-08 1.17932e-06 2.35961e-06 5.34877e-06 1.79629e-05 3.34989e-05 8.60954e-05 0.000476242 0.000748333 0.000263741 0.0003642 0.00106159 0.211432 0.366824 0.0165925 0.384266 0.899675 1.88185
