state     k     En(au)    En(eV)   Oc.Frac.
1s_{1/2} -1 -1277.25749  -34755.95   [1.00]
2s_{1/2} -1  -202.46505   -5509.35   [1.00]
2p_{1/2}  1  -189.67975   -5161.45   [1.00]
2p_{3/2} -2  -177.70454   -4835.59   [1.00]
3s_{1/2} -1   -43.01045   -1170.37   [1.00]
3p_{1/2}  1   -37.65996   -1024.78   [1.00]
3p_{3/2} -2   -35.32526    -961.25   [1.00]
3d_{3/2}  2   -26.02336    -708.13   [1.00]
3d_{5/2} -3   -25.53709    -694.90   [1.00]
4s_{1/2} -1    -8.42992    -229.39   [1.00]
4p_{1/2}  1    -6.45250    -175.58   [1.00]
4p_{3/2} -2    -5.98279    -162.80   [1.00]
4d_{3/2}  2    -2.71133     -73.78   [1.00]
4d_{5/2} -3    -2.63376     -71.67   [1.00]
5s_{1/2} -1    -1.01014     -27.49   [1.00]
5p_{1/2}  1    -0.49257     -13.40   [1.00]
5p_{3/2} -2    -0.43980     -11.97   [1.00]
